district,area,eco_rating
Косино-Ухтомский,ВАО,7
Преображенское,ВАО,7
Соколиная Гора,ВАО,9
Богородское,ВАО,6
Вешняки,ВАО,5
Гольяново,ВАО,5
Новогиреево,ВАО,6
Перово,ВАО,8
Северное Измайлово,ВАО,6
Восточное Измайлово,ВАО,4
Восточный,ВАО,4
Метрогородок,ВАО,4
Новокосино,ВАО,6
Ивановское,ВАО,2
Измайлово,ВАО,2
Сокольники,ВАО,2
Очаково-Матвеевское,ЗАО,7
Дорогомилово,ЗАО,6
Кунцево,ЗАО,5
Новопеределкино,ЗАО,5
Солнцево,ЗАО,5
Филёвский Парк,ЗАО,7
Фили-Давыдково,ЗАО,6
Внуково,ЗАО,4
Можайский,ЗАО,4
Раменки,ЗАО,4
Тропарёво-Никулино,ЗАО,4
Крылатское,ЗАО,2
Проспект Вернадского,ЗАО,4
Восточное Дегунино,САО,9
Головинский,САО,7
Дмитровский,САО,8
Западное Дегунино,САО,7
Аэропорт,САО,6
Беговой,САО,5
Бескудниковский,САО,6
Войковский,САО,5
Левобережный,САО,6
Савёловский,САО,6
Сокол,САО,8
Ховрино,САО,6
Хорошёвский,САО,5
Коптево,САО,4
Молжаниновский,САО,5
Тимирязевский,САО,4
Бирюлёво Западное,ЮАО,9
Даниловский,ЮАО,9
Нагатино-Садовники,ЮАО,7
Чертаново Центральное,ЮАО,8
Братеево,ЮАО,6
Донской,ЮАО,5
Зябликово,ЮАО,7
Москворечье-Сабурово,ЮАО,6
Нагорный,ЮАО,7
Царицыно,ЮАО,6
Чертаново Северное,ЮАО,6
Бирюлёво Восточное,ЮАО,4
Нагатинский Затон,ЮАО,4
Орехово-Борисово Южное,ЮАО,6
Чертаново Южное,ЮАО,4
Орехово-Борисово Северное,ЮАО,4
Арбат,ЦАО,6
Басманный,ЦАО,6
Замоскворечье,ЦАО,6
Красносельский,ЦАО,6
Мещанский,ЦАО,6
Пресненский,ЦАО,6
Таганский,ЦАО,6
Тверской,ЦАО,5
Хамовники,ЦАО,4
Якиманка,ЦАО,4
Щукино,СЗАО,7
Южное Тушино,СЗАО,6
Куркино,СЗАО,3
Покровское-Стрешнево,СЗАО,5
Митино,СЗАО,2
Северное Тушино,СЗАО,4
Строгино,СЗАО,2
Хорошёво-Мнёвники,СЗАО,2
Алтуфьевский,СВАО,9
Бабушкинский,СВАО,7
Бутырский,СВАО,7
Северное Медведково,СВАО,8
Алексеевский,СВАО,5
Бибирево,СВАО,6
Лосиноостровский,СВАО,6
Марьина Роща,СВАО,6
Свиблово,СВАО,7
Лианозово,СВАО,4
Останкинский,СВАО,3
Отрадное,СВАО,6
Ростокино,СВАО,4
Южное Медведково,СВАО,5
Марфино,СВАО,4
Северный,СВАО,2
Ярославский,СВАО,4
Капотня,ЮВАО,9
Лефортово,ЮВАО,9
Марьино,ЮВАО,7
Некрасовка,ЮВАО,7
Нижегородский,ЮВАО,7
Печатники,ЮВАО,7
Рязанский,ЮВАО,8
Выхино-Жулебино,ЮВАО,6
Люблино,ЮВАО,6
Текстильщики,ЮВАО,6
Южнопортовый,ЮВАО,8
Кузьминки,ЮВАО,4
Академический,ЮЗАО,6
Гагаринский,ЮЗАО,6
Черёмушки,ЮЗАО,6
Южное Бутово,ЮЗАО,7
Зюзино,ЮЗАО,4
Коньково,ЮЗАО,4
Котловка,ЮЗАО,4
Ломоносовский,ЮЗАО,5
Обручевский,ЮЗАО,2
Северное Бутово,ЮЗАО,2
Тёплый Стан,ЮЗАО,4
Ясенево,ЮЗАО,2
Щербинка,Новомосковский округ,9
Воскресенское,Новомосковский округ,4
Марушкинское,Новомосковский округ,4
Рязановское,Новомосковский округ,4
Филимонковское,Новомосковский округ,2
Внуковское,Новомосковский округ,3
Десёновское,Новомосковский округ,2
Кокошкино,Новомосковский округ,2
Московский,Новомосковский округ,2
Мосрентген,Новомосковский округ,3
Сосенское,Новомосковский округ,2
Крюково,Зеленоградский округ,5
Матушкино,Зеленоградский округ,2
Савёлки,Зеленоградский округ,2
Силино,Зеленоградский округ,2
Старое Крюково,Зеленоградский округ,2
Киевский,Троицкий округ,3
Клёновское,Троицкий округ,4
Краснопахорское,Троицкий округ,4
Михайлово-Ярцевское,Троицкий округ,3
Новофёдоровское,Троицкий округ,3
Первомайское,Троицкий округ,4
Роговское,Троицкий округ,3
Шаповское,Троицкий округ,4
Вороновское,Троицкий округ,2
Троицк,Троицкий округ,2
