author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
VESTADOM,2,6,5,182.6,89970000,Басманный,Солянка,Китай-город,не указано,Калужско-Рижская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,977,13,1,0,3,13225.09
МСК Недвижимость,2,3,-1,14.2,3690000,Нижегородский,шоссе Фрезер,Нижегородская,не указано,Некрасовская линия,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,214,133,1,0,2,5983.36
МИЦ,7,10,2,69.6,37446192,Замоскворечье,Стремянный переулок,Павелецкая,Сити-комплекс Амарант,Замоскворецкая линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,1297,194,1,0,3,13681.71
ID 27877115,14,14,2,44.4,19300000,Раменки,Мичуринский проспект,Раменки,не указано,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,3,1,2,4,7638.08
ПИК,28,33,2,32.7,10627500,Нижегородский,к2.2,Нижегородская,Перовское 2 ЖК,Московское центральное кольцо,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1315,1263,1,0,5,5983.36
Владис,2,9,1,11.6,4840000,Очаково-Матвеевское,Аминьевское шоссе,Аминьевская,MySpace Аминьевская,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,246,1,0,3,7453.93
Homeapp,9,14,3,63.8,16700000,Измайлово,Измайловский проезд,Измайловская,не указано,Арбатско-Покровская линия,ВАО,2,3,97,0,27,49,8,16,37.0,15.24,107381,2055.9,1065,553,1,0,4,7046.0
Homeapp,5,5,5,283.0,271488000,Красносельский,Уланский переулок,Сретенский бульвар,не указано,Люблинско-Дмитровская линия,ЦАО,6,11,56,33,4,4,7,85,43.0,4.96,48697,871.2,569,553,1,2,2,9817.94
ЕГСН Продажа,9,22,1,38.7,8500000,Марьино,Мячковский бульвар,Марьино,не указано,Люблинско-Дмитровская линия,ЮВАО,7,17,30,53,24,0,76,0,52.0,11.91,253943,4523.0,569,175,1,0,5,21321.83
Whitewill,14,14,3,86.0,44900000,Таганский,Сосинская,Пролетарская,На Симоновском,Таганско-Краснопресненская линия,ЦАО,6,1,36,63,0,0,25,75,3.0,8.01,123398,2380.6,991,332,1,2,4,15405.49
MR Group,18,32,1,39.2,22527860,Даниловский,не указано,Серпуховская,Павелецкая Сити ЖК,Серпуховско-Тимирязевская линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,807,278,1,0,5,7485.4
ID 413522,12,21,3,83.5,79000000,Пресненский,Мантулинская,Деловой центр,City Park,Московское центральное кольцо,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1315,34,1,0,5,10945.47
АЛЛАДИН,20,21,4,160.4,69965586,Сокольники,Сокольнический Вал,Рижская,Резиденция Сокольники,Калужско-Рижская линия,ВАО,2,11,25,64,7,11,14,68,20.0,10.28,61487,1247.2,977,10,1,0,5,5981.23
ПИК,32,32,3,81.1,17095717,Митино,Северо-Западный ао,Пятницкое шоссе,Митинский Лес ЖК,Арбатско-Покровская линия,СЗАО,2,17,44,39,54,0,46,0,64.0,12.67,194965,3658.1,1065,1263,1,2,5,15387.92
Пионер,6,11,2,55.8,43285901,Даниловский,Дербеневская,Павелецкая,OPUS,Замоскворецкая линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,1297,118,1,0,4,7485.4
Forma,25,29,3,85.2,32708535,Печатники,Южнопортовая,Печатники,Portland,Люблинско-Дмитровская линия,ЮВАО,7,11,89,0,77,0,17,6,68.0,17.89,86587,1369.3,569,146,1,0,5,4839.97
А101,3,30,4,77.1,15869756,Южное Бутово,к2.4,Бунинская аллея,Южные Сады ЖК,Бутовская линия Лёгкого метро,ЮЗАО,7,21,42,37,76,0,24,0,78.0,25.54,210676,4195.0,303,305,1,0,5,8248.86
PEOPLE,9,11,4,90.5,53000000,Басманный,Казакова,Курская,KAZAKOV Grand Loft,Кольцевая линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,597,193,1,0,4,13225.09
ФСК,7,27,3,66.6,28719359,Хорошевский,Зорге,Зорге,Рихард,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,238,1,0,5,1.0
ID 70306698,4,26,1,24.2,10590000,Покровское-Стрешнево,Летная,Спартак,ÁLIA,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,1,0,0,5,4604.81
TROIKA ESTATE,22,22,5,279.14,125613000,Фили-Давыдково,Малая Филевская,Пионерская,Суворов Парк,Филёвская линия,ЗАО,6,13,81,6,83,0,17,0,69.0,6.96,115128,2388.6,896,30,1,2,5,16541.38
