author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Sminex-Интеко;https://www.cian.ru/sale/flat/281914898/;Москва;sale;flat;3;5;2;67.07;149930000;Тверской;;Площадь Революции;Ильинка 3/8 ЖК
MR Group;https://www.cian.ru/sale/flat/285682464/;Москва;sale;flat;3;10;2;62.7;34485000;Беговой;Северный ао;Белорусская;Слава ЖК
GloraX;https://www.cian.ru/sale/flat/277738124/;Москва;sale;flat;5;21;2;77.85;34069999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
ANT Development;https://www.cian.ru/sale/flat/283856161/;Москва;sale;flat;27;32;2;50.9;40703799;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
Sminex-Интеко;https://www.cian.ru/sale/flat/281051002/;Москва;sale;flat;6;14;2;85.6;187560000;Якиманка;;Полянка;Лаврушинский ЖК
Донстрой;https://www.cian.ru/sale/flat/285254037/;Москва;sale;flat;13;15;2;80.3;36689070;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
Группа Эталон;https://www.cian.ru/sale/flat/284936663/;Москва;sale;flat;12;17;2;60.1;22830461;Даниловский;;ЗИЛ;Шагал ЖК
Пионер;https://www.cian.ru/sale/flat/280755886/;Москва;sale;flat;17;32;2;86.0;56343416;Даниловский;;Павелецкая;Хай Лайф ЖК
MCRealty;https://www.cian.ru/sale/flat/271123228/;Москва;sale;flat;55;85;2;98.0;35700000;Пресненский;1-й Красногвардейский проезд;Деловой центр;МФК ОКО
MCRealty;https://www.cian.ru/sale/flat/271118347/;Москва;sale;flat;48;78;2;86.0;51600000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
MCRealty;https://www.cian.ru/sale/flat/271478512/;Москва;sale;flat;65;85;2;96.0;55000000;Пресненский;1-й Красногвардейский проезд;Деловой центр;МФК ОКО
MCRealty;https://www.cian.ru/sale/flat/271130575/;Москва;sale;flat;58;78;2;72.0;41800000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
MCRealty;https://www.cian.ru/sale/flat/271137333/;Москва;sale;flat;68;78;2;96.0;57600000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
MCRealty;https://www.cian.ru/sale/flat/271473170/;Москва;sale;flat;20;78;2;65.0;39000000;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
Аеон-Девелопмент;https://www.cian.ru/sale/flat/280707242/;Москва;sale;flat;13;45;2;73.4;40820161;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
СТАТУС;https://www.cian.ru/sale/flat/285228000/;Москва;sale;flat;4;45;2;79.7;15218715;Бирюлево Восточное;Михневская;Покровское;Загорье
Sminex-Интеко;https://www.cian.ru/sale/flat/281686975/;Москва;sale;flat;4;6;2;80.9;184120000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
Славянский Двор Остоженка;https://www.cian.ru/sale/flat/278744574/;Москва;sale;flat;16;20;2;86.0;45000000;Раменки;Мосфильмовская;Раменки;Мосфильмовский
ANT Development;https://www.cian.ru/sale/flat/274568561/;Москва;sale;flat;-1;-1;-1;202.0;75978433;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
MR Group;https://www.cian.ru/sale/flat/271758064/;Москва;sale;flat;6;41;2;60.3;35486098;Раменки;1-й Сетуньский проезд;Лужники;Hide
Северная слобода;https://www.cian.ru/sale/flat/284287955/;Москва;sale;flat;1;4;2;83.3;25500000;Северный;Дмитровское шоссе;Алтуфьево;
КВАРТА-18;https://www.cian.ru/sale/flat/279325792/;Москва;sale;flat;4;5;2;47.6;31364422;Тверской;Тверская;Пушкинская;
Пионер;https://www.cian.ru/sale/flat/279362252/;Москва;sale;flat;7;11;2;75.3;58998152;Даниловский;Дербеневская;Павелецкая;OPUS
VESPER;https://www.cian.ru/sale/flat/279417508/;Москва;sale;flat;-1;-1;-1;202.0;117594750;Пресненский;Костикова;Улица 1905 года;Lucky
ID 48136101;https://www.cian.ru/sale/flat/284198720/;Москва;sale;flat;9;24;2;68.5;32500000;Фили-Давыдково;Кастанаевская;Кунцевская;Shome
MR Group;https://www.cian.ru/sale/flat/280298796/;Москва;sale;flat;-1;-1;-1;202.0;21967090;Савеловский;2-я Хуторская;Дмитровская;SYMPHONY 34
MR Group;https://www.cian.ru/sale/flat/284803737/;Москва;sale;flat;33;41;2;75.2;37111200;Филевский парк;Багратионовский проезд;Фили;Filicity
Absolute Premium;https://www.cian.ru/sale/flat/285442087/;Москва;sale;flat;10;18;2;66.2;49342000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
GloraX;https://www.cian.ru/sale/flat/277738052/;Москва;sale;flat;3;21;3;91.13;38039999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
Sminex-Интеко;https://www.cian.ru/sale/flat/281896679/;Москва;sale;flat;2;5;3;88.1;170060000;Тверской;;Площадь Революции;Ильинка 3/8 ЖК
MR Group;https://www.cian.ru/sale/flat/269862960/;Москва;sale;flat;-1;-1;-1;202.0;63228672;Раменки;1-й Сетуньский проезд;Лужники;Hide
ANT Development;https://www.cian.ru/sale/flat/283856147/;Москва;sale;flat;26;32;3;127.7;153525793;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
ID 254498;https://www.cian.ru/sale/flat/277916287/;Москва;sale;flat;2;14;3;75.7;23800000;Марьина роща;Складочная;Савёловская;Шереметьевский
ID 97380778;https://www.cian.ru/sale/flat/280467483/;Москва;sale;flat;40;58;3;128.5;30320000;Ростокино;проспект Мира;Ростокино;Триколор
Sminex-Интеко;https://www.cian.ru/sale/flat/281050959/;Москва;sale;flat;8;8;3;163.5;792210000;Якиманка;;Третьяковская;Лаврушинский ЖК
БЕСТ-Новострой Обмен квартир;https://www.cian.ru/sale/flat/286273196/;Москва;sale;flat;14;20;3;79.8;32800000;Хорошево-Мневники;Шеногина;Хорошёво;Sydney City
Sminex-Интеко;https://www.cian.ru/sale/flat/281686954/;Москва;sale;flat;1;6;3;79.5;133140000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
Времена года;https://www.cian.ru/sale/flat/285865046/;Москва;sale;flat;15;15;3;216.5;230000000;Мещанский;Цветной бульвар;Кузнецкий мост;Легенда Цветного
Донстрой;https://www.cian.ru/sale/flat/286394408/;Москва;sale;flat;6;22;3;70.1;34860730;Хорошево-Мневники;проезд Проектируемый № 1077;Терехово ;Остров
Елена Подстрешная;https://www.cian.ru/sale/flat/285882821/;Москва;sale;flat;26;28;3;90.0;28800000;Филевский парк;Береговой проезд;Шелепиха;мой адрес На Береговом
Аеон-Девелопмент;https://www.cian.ru/sale/flat/274260646/;Москва;sale;flat;-1;-1;-1;202.0;62099969;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Century 21 Premium Property;https://www.cian.ru/sale/flat/282915444/;Москва;sale;flat;22;25;3;119.9;44000000;Раменки;Янковского;Аминьевская;Событие
ANT Development;https://www.cian.ru/sale/flat/274568594/;Москва;sale;flat;-1;-1;-1;202.0;136488476;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
