author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Донстрой;developer;https://www.cian.ru/sale/flat/285254504/;Москва;sale;flat;2;22;2;57.0;482400;27496800;Хорошево-Мневники;проезд Проектируемый № 1074;Терехово ;Остров
GloraX;developer;https://www.cian.ru/sale/flat/277738124/;Москва;sale;flat;5;21;2;77.85;437636;34069999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
Группа Эталон;developer;https://www.cian.ru/sale/flat/284038213/;Москва;sale;flat;3;14;2;62.1;342554;21272628;Даниловский;;Технопарк;Шагал ЖК
Arkhipov team;real_estate_agent;https://www.cian.ru/sale/flat/283705926/;Москва;sale;flat;31;44;2;61.1;671031;41000000;Пресненский;Ходынская;Улица 1905 года;Пресня Сити
VESPER;developer;https://www.cian.ru/sale/flat/277035825/;Москва;sale;flat;4;9;2;99.4;1200000;119280000;Тверской;1-я Тверская-Ямская;Маяковская;Vesper Tverskaya
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/285256353/;Москва;sale;flat;13;30;2;72.3;522900;37805670;Раменки;Лобачевского;Мичуринский проспект;Событие
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260715/;Москва;sale;flat;3;46;2;71.9;499855;35939582;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Regions Development;developer;https://www.cian.ru/sale/flat/281325481/;Москва;sale;flat;11;24;2;72.55;401408;29122169;Нагатинский затон;;Технопарк;Дрим Тауэрс ЖК
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/280996957/;Москва;sale;flat;6;53;2;120.8;596026;72000000;Раменки;Мосфильмовская;Кутузовская;Дом на Мосфильмовской
Absolute Premium;developer;https://www.cian.ru/sale/flat/284897297/;Москва;sale;flat;4;17;2;49.8;775763;38633000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
ANT Development;developer;https://www.cian.ru/sale/flat/274568659/;Москва;sale;flat;9;11;2;65.42;1145649;74948401;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
MR Group;developer;https://www.cian.ru/sale/flat/279736026/;Москва;sale;flat;3;10;2;62.7;550000;34485000;Беговой;Северный ао;Белорусская;Слава ЖК
ANT Development;developer;https://www.cian.ru/sale/flat/283856120/;Москва;sale;flat;20;32;2;49.4;868733;42915418;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
Пионер;developer;https://www.cian.ru/sale/flat/283969756/;Москва;sale;flat;8;9;2;47.4;440347;20872495;Марьина роща;Полковая;Савёловская;PRIDE
Гардтекс;developer;https://www.cian.ru/sale/flat/282397948/;Москва;sale;flat;5;9;2;117.2;800000;93760000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE
Группа Родина;developer;https://www.cian.ru/sale/flat/275410628/;Москва;sale;flat;8;21;2;62.0;456225;28286000;Ростокино;Сельскохозяйственная;Ботанический сад;СОЮЗ
MR Group;developer;https://www.cian.ru/sale/flat/284803737/;Москва;sale;flat;33;41;2;75.2;470000;35344000;Филевский парк;Багратионовский проезд;Фили;Filicity
VESPER;developer;https://www.cian.ru/sale/flat/270990714/;Москва;sale;flat;3;15;2;122.19;1005000;122800950;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky
Стадион Спартак;developer;https://www.cian.ru/sale/flat/275395952/;Москва;sale;flat;5;10;2;60.0;412200;24732000;Покровское-Стрешнево;Северо-Западный ао;Спартак;Клубный Город на Реке Примавера ЖК
Capital Group;developer;https://www.cian.ru/sale/flat/283844192/;Москва;sale;flat;12;85;2;91.8;577563;53020364;Пресненский;1-й Красногвардейский проезд;Выставочная;МФК ОКО
Regions Development;developer;https://www.cian.ru/sale/flat/281335048/;Москва;sale;flat;12;17;2;64.33;434179;27930766;Преображенское;;Преображенская площадь;Преображенская Площадь ЖК
IKON Development;developer;https://www.cian.ru/sale/flat/284060378/;Москва;sale;flat;18;21;2;72.5;707840;51318400;Басманный;Земляной Вал;Чкаловская;Дом Chkalov
Forma;developer;https://www.cian.ru/sale/flat/284059765/;Москва;sale;flat;19;34;2;46.58;645859;30084158;Пресненский;к1.1;Белорусская;Репаблик ЖК
ASTERUS;developer;https://www.cian.ru/sale/flat/277764596/;Москва;sale;flat;4;10;2;68.63;345912;23739941;Покровское-Стрешнево;;Спартак;Алиа ЖК
ФСК;developer;https://www.cian.ru/sale/flat/281612916/;Москва;sale;flat;10;16;2;69.4;463699;32180780;Свиблово;Снежная;Свиблово;The Lake
Forma;developer;https://www.cian.ru/sale/flat/283996690/;Москва;sale;flat;11;20;2;68.7;380366;26131212;Аэропорт;Часовая;Красный Балтиец;SOUL
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272086934/;Москва;sale;flat;6;6;2;150.0;500000;75000000;Беговой;3-я Ямского Поля;Белорусская;Art Residence
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/273469259/;Москва;sale;flat;4;41;2;65.8;516717;34000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/282792525/;Москва;sale;flat;5;41;2;60.7;741350;45000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Пионер;developer;https://www.cian.ru/sale/flat/280755905/;Москва;sale;flat;19;32;2;86.2;702598;60564033;Даниловский;;Павелецкая;Хай Лайф ЖК
Penny Lane Realty Жилая недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284781508/;Москва;sale;flat;2;7;2;95.0;1000000;95000000;Арбат;Филипповский переулок;Арбатская;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/280116651/;Москва;sale;flat;62;77;2;111.0;1441441;160000000;Пресненский;1-й Красногвардейский проезд;Деловой центр;NEVA TOWERS
Garnet;real_estate_agent;https://www.cian.ru/sale/flat/281490924/;Москва;sale;flat;4;12;2;62.0;354677;21990000;Ростокино;Сельскохозяйственная;Улица Сергея Эйзенштейна;
.Sense;developer;https://www.cian.ru/sale/flat/275858589/;Москва;sale;flat;6;13;2;63.3;495722;31379224;Даниловский;Подольское шоссе;Тульская;Logos
ID 27679278;realtor;https://www.cian.ru/sale/flat/272930335/;Москва;sale;flat;2;10;2;63.2;1424050;90000000;Тверской;Новослободская;Менделеевская;
Донстрой;developer;https://www.cian.ru/sale/flat/285255408/;Москва;sale;flat;4;10;2;96.6;662526;64000012;Раменки;Сергея Бондарчука;Раменки;Река
ФСК;developer;https://www.cian.ru/sale/flat/264341376/;Москва;sale;flat;6;48;2;65.6;410118;26903741;Ростокино;;Ботанический сад;Режиссер ЖК
ID 100417108;homeowner;https://www.cian.ru/sale/flat/284362983/;Москва;sale;flat;3;3;2;57.0;210526;12000000;;;Филатов Луг;
Capital Group;developer;https://www.cian.ru/sale/flat/277550930/;Москва;sale;flat;9;65;2;69.79;904140;63100000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
MH Group;real_estate_agent;https://www.cian.ru/sale/flat/284849831/;Москва;sale;flat;49;65;2;110.0;727272;79999999;Пресненский;набережная Пресненская;Выставочная;Город Столиц
MR Group;developer;https://www.cian.ru/sale/flat/272591407/;Москва;sale;flat;19;57;2;64.89;512869;33280128;Филевский парк;;Фили;Фили Сити ЖК
Группа Эталон;developer;https://www.cian.ru/sale/flat/285152096/;Москва;sale;flat;5;18;2;70.2;569138;39953523;Замоскворечье;;Павелецкая;Воксхолл ЖК
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/281686968/;Москва;sale;flat;4;6;2;88.1;2095686;184630000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
Сергей Соловьев;realtor;https://www.cian.ru/sale/flat/279299525/;Москва;sale;flat;3;22;2;57.0;215789;12300000;;;Саларьево;
Valartis Group;developer;https://www.cian.ru/sale/flat/280427151/;Москва;sale;flat;4;5;2;120.8;760000;91808000;Арбат;Арбат;Смоленская;Artisan
Valartis Group;developer;https://www.cian.ru/sale/flat/274788995/;Москва;sale;flat;8;8;2;113.0;1050000;118650000;Арбат;Арбат;Арбатская;Turandot Residences
ФСК;developer;https://www.cian.ru/sale/flat/282913370/;Москва;sale;flat;22;27;2;54.9;352700;19363230;Покровское-Стрешнево;Строительный проезд;;Sky Garden
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/269824733/;Москва;sale;flat;12;24;2;64.7;445131;28800000;Хорошево-Мневники;Шеногина;Шелепиха;Sydney City
GRAVION;representative_developer;https://www.cian.ru/sale/flat/284824196/;Москва;sale;flat;3;9;2;98.45;990954;97559467;Якиманка;Ленинский проспект;Октябрьская;CULT (Апартаменты премиум-класса)
