author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Группа Эталон;developer;https://www.cian.ru/sale/flat/284038209/;Москва;sale;flat;5;14;1;40.2;394189;15846405;Даниловский;;Технопарк;Шагал ЖК
Пионер;developer;https://www.cian.ru/sale/flat/283969702/;Москва;sale;flat;5;22;1;32.0;509354;16299328;Марьина роща;Полковая;Савёловская;PRIDE
Донстрой;developer;https://www.cian.ru/sale/flat/285254761/;Москва;sale;flat;4;13;1;38.1;524900;19998690;Хорошево-Мневники;Жилой комплекс остров;Терехово ;Остров
Regions Development;developer;https://www.cian.ru/sale/flat/281325484/;Москва;sale;flat;4;6;1;41.36;489967;20265047;Нагатинский затон;;Технопарк;Дрим Тауэрс ЖК
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/285256888/;Москва;sale;flat;3;48;1;39.7;510969;20285509;Раменки;Кинематографический кв-л;Мичуринский проспект;Событие-4 ЖК
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260488/;Москва;sale;flat;2;45;1;42.8;509547;21808632;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Донстрой;developer;https://www.cian.ru/sale/flat/285255525/;Москва;sale;flat;31;41;1;45.6;475725;21693060;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
MR Group;developer;https://www.cian.ru/sale/flat/282209304/;Москва;sale;flat;18;57;1;39.4;613508;24172234;Филевский парк;;Фили;Фили Сити ЖК
MR Group;developer;https://www.cian.ru/sale/flat/279707484/;Москва;sale;flat;5;16;1;48.2;570539;27499980;Беговой;Северный ао;Белорусская;Слава ЖК
Absolute Premium;developer;https://www.cian.ru/sale/flat/280229638/;Москва;sale;flat;9;17;1;55.0;779036;42847000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
Донстрой;developer;https://www.cian.ru/sale/flat/285255389/;Москва;sale;flat;2;12;1;71.9;678900;48812910;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
VESPER;developer;https://www.cian.ru/sale/flat/278452130/;Москва;sale;flat;2;21;1;45.44;900000;40896000;Пресненский;Жилой Лаки кв-л;Улица 1905 года;Lucky
Ирина Кузьмина;realtor;https://www.cian.ru/sale/flat/285226392/;Москва;sale;flat;1;9;1;31.0;377419;11700000;Южнопортовый;Симоновский Вал;Дубровка;
IKON Development;developer;https://www.cian.ru/sale/flat/284060415/;Москва;sale;flat;15;21;1;43.7;899999;39330000;Басманный;Земляной Вал;Чкаловская;Дом Chkalov
Юлия Сергеевна Денисова;realtor;https://www.cian.ru/sale/flat/285101997/;Москва;sale;flat;5;9;1;36.0;325000;11700000;Даниловский;2-й Павловский переулок;Серпуховская;
ФСК;developer;https://www.cian.ru/sale/flat/281553070/;Москва;sale;flat;2;10;1;48.7;472200;22996140;Свиблово;Снежная;Свиблово;The Lake
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/283849683/;Москва;sale;flat;1;5;1;12.0;291666;3500000;Текстильщики;Шкулева;Волжская;
Forma;developer;https://www.cian.ru/sale/flat/280467174/;Москва;sale;flat;24;26;1;39.62;700453;27751987;Пресненский;;Белорусская;Репаблик ЖК
Группа Родина;developer;https://www.cian.ru/sale/flat/275410605/;Москва;sale;flat;6;21;1;54.4;447676;24353600;Ростокино;Сельскохозяйственная;Ботанический сад;СОЮЗ
Пионер;developer;https://www.cian.ru/sale/flat/280755992/;Москва;sale;flat;16;32;1;59.2;634990;37591408;Даниловский;;Павелецкая;Хай Лайф ЖК
Regions Development;developer;https://www.cian.ru/sale/flat/280854456/;Москва;sale;flat;5;17;1;45.85;402579;18458255;Преображенское;;Преображенская площадь;Преображенская Площадь ЖК
Стадион Спартак;developer;https://www.cian.ru/sale/flat/282960185/;Москва;sale;flat;2;19;1;42.7;453699;19372990;Покровское-Стрешнево;Северо-Западный ао;Спартак;Клубный Город на Реке Примавера ЖК
.Sense;developer;https://www.cian.ru/sale/flat/279562795/;Москва;sale;flat;9;13;1;58.1;579451;33666155;Даниловский;Подольское шоссе;Тульская;Logos
Forma;developer;https://www.cian.ru/sale/flat/284795537/;Москва;sale;flat;7;20;1;46.1;442460;20397452;Аэропорт;Часовая;Красный Балтиец;SOUL
ASTERUS;developer;https://www.cian.ru/sale/flat/274202125/;Москва;sale;flat;7;18;1;37.81;433101;16375549;Покровское-Стрешнево;;Спартак;Алиа ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/283638079/;Москва;sale;flat;9;41;1;40.5;617283;25000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/280805771/;Москва;sale;flat;49;67;1;45.0;744444;33500000;Пресненский;1-й Красногвардейский проезд;Международная;NEVA TOWERS
ID 54462788;realtor;https://www.cian.ru/sale/flat/284541578/;Москва;sale;flat;14;14;1;29.8;268456;8000000;;;Коммунарка;
Hutton Development;developer;https://www.cian.ru/sale/flat/282786879/;Москва;sale;flat;3;8;1;52.8;850000;44880000;Таганский;Славянская площадь;Китай-город;LUMIN
ID 82241327;unknown;https://www.cian.ru/sale/flat/280333499/;Москва;sale;flat;6;25;1;24.0;354166;8500000;;;Коммунарка;
Группа Эталон;developer;https://www.cian.ru/sale/flat/284036722/;Москва;sale;flat;5;20;1;53.4;598113;31939283;Замоскворечье;;Павелецкая;Воксхолл ЖК
ФСК;developer;https://www.cian.ru/sale/flat/243300846/;Москва;sale;flat;2;29;1;39.0;584640;22800960;Ростокино;;Ботанический сад;Режиссер ЖК
Valartis Group;developer;https://www.cian.ru/sale/flat/284404564/;Москва;sale;flat;4;8;1;110.8;700000;77560000;Арбат;Арбат;Арбатская;Turandot Residences
GRAVION;representative_developer;https://www.cian.ru/sale/flat/284824183/;Москва;sale;flat;2;9;1;52.18;985234;51409562;Якиманка;Ленинский проспект;Октябрьская;CULT (Апартаменты премиум-класса)
Valartis Group;developer;https://www.cian.ru/sale/flat/280427152/;Москва;sale;flat;4;5;1;104.7;720000;75384000;Арбат;Арбат;Смоленская;Artisan
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/275923491/;Москва;sale;flat;2;6;1;58.61;867200;50826592;Замоскворечье;Космодамианская набережная;Новокузнецкая;Клубный дом Космо 4/22
ФСК;developer;https://www.cian.ru/sale/flat/282208313/;Москва;sale;flat;13;26;1;42.1;360700;15185470;Покровское-Стрешнево;Строительный проезд;;Sky Garden
Capital Group;developer;https://www.cian.ru/sale/flat/270796168/;Москва;sale;flat;8;65;1;49.02;856793;42000000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Группа Эталон;developer;https://www.cian.ru/sale/flat/283964483/;Москва;sale;flat;17;19;1;50.2;620429;31145536;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
Тауэрс;developer;https://www.cian.ru/sale/flat/283393287/;Москва;sale;flat;41;65;1;50.6;988000;49992800;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
Sezar Group;developer;https://www.cian.ru/sale/flat/283289264/;Москва;sale;flat;7;25;1;44.8;466200;20885760;Тропарево-Никулино;проспект Вернадского;;Клубный дом Full House
Hutton Development;developer;https://www.cian.ru/sale/flat/279224278/;Москва;sale;flat;5;8;1;48.73;636158;31000000;Гагаринский;;Ленинский проспект;Лунар ЖК
ФСК;developer;https://www.cian.ru/sale/flat/270815772/;Москва;sale;flat;13;29;1;34.9;446790;15592971;Нагатино-Садовники;;Нагатинская;Роттердам ЖК
Forma;developer;https://www.cian.ru/sale/flat/282651807/;Москва;sale;flat;13;22;1;45.7;366020;16727114;Печатники;Южнопортовая;Печатники;Portland
