iter	RMSE
0	25830392.67
1	21494514.23
2	19341462.47
3	17298766.19
4	15880114.64
5	14792098.77
6	14064337.65
7	13313577.79
8	12772004.69
9	12365910.62
10	12070277.69
11	11836381.74
12	11628321.13
13	11416512.96
14	11240497.05
15	11065463.25
16	10925975.69
17	10785932.86
18	10656284.93
19	10539898.61
20	10448489.21
21	10339296.79
22	10233969.15
23	10155824.56
24	10061462.21
25	9992930.723
26	9895876.799
27	9817780.098
28	9768159.678
29	9673729.632
30	9597193.339
31	9533851.68
32	9450620.918
33	9392127.523
34	9339586.555
35	9268021.207
36	9209471.43
37	9108279.004
38	9029561.076
39	8945355.304
40	8874375.868
41	8803005.167
42	8734448.24
43	8666558.919
44	8603364.905
45	8536086.493
46	8484963.209
47	8424628.854
48	8375086.886
49	8325106.367
50	8253050.244
51	8201220.036
52	8157448.388
53	8115167.999
54	8096594.774
55	8051173.315
56	7999773.032
57	7948700.161
58	7897200.426
59	7847479.333
60	7828430.799
61	7797385.745
62	7791078.994
63	7781091.929
64	7729209.988
65	7720300.662
66	7673196.186
67	7636768.364
68	7598603.465
69	7561467.153
70	7526501.877
71	7489869.103
72	7432500.49
73	7391911.545
74	7355847.841
75	7324926.173
76	7300319.367
77	7254039.004
78	7244788.136
79	7240777.042
80	7197746.116
81	7195510.534
82	7189647.244
83	7186293.281
84	7142071.532
85	7141216.009
86	7087020.454
87	7040343.843
88	6995979.969
89	6971926.227
90	6968263.226
91	6924017.573
92	6874334.824
93	6831375.967
94	6801006.98
95	6796864.462
96	6763689.747
97	6736792.117
98	6703884.023
99	6686105.148
100	6682972.26
101	6680517.488
102	6640910.57
103	6609636.219
104	6573048.415
105	6569721.794
106	6541367.561
107	6538116.303
108	6500632.523
109	6480851.708
110	6456826.14
111	6428783.731
112	6420424.549
113	6397902.782
114	6396677.224
115	6380641.799
116	6379486.727
117	6348803.633
118	6346621.398
119	6345649.984
120	6321755.114
121	6320305.832
122	6315750.222
123	6283752.679
124	6281476.399
125	6275698.453
126	6266362.992
127	6264688.244
128	6237911.448
129	6237107.05
130	6208290.718
131	6168658.57
132	6135437.129
133	6132504.595
134	6115516.901
135	6088462.401
136	6084851.833
137	6074297.939
138	6071939.429
139	6048919.226
140	6025656.433
141	6024901.738
142	5993863.33
143	5986621.045
144	5985128.015
145	5948695.297
146	5915693.579
147	5880051.166
148	5853547.74
149	5822717.04
150	5794603.485
151	5792941.584
152	5766639.589
153	5755337.519
154	5725967.271
155	5722745.342
156	5718628.065
157	5696963.045
158	5695061.291
159	5694710.899
160	5669390.219
161	5645212.129
162	5625959.832
163	5597838.074
164	5597603.2
165	5565780.339
166	5562767.659
167	5538391.312
168	5532113.212
169	5529938.491
170	5517085.647
171	5503490.565
172	5481655.737
173	5477953.028
174	5477736.902
175	5475862.747
176	5472760.495
177	5465574.793
178	5441610.003
179	5439145.385
180	5413036.498
181	5408142.623
182	5407255.002
183	5387690.708
184	5377980.113
185	5353444.558
186	5327979.303
187	5325057.732
188	5306203.271
189	5296766.379
190	5286505.223
191	5267744.61
192	5243050.737
193	5237113.126
194	5231145.779
195	5229805.154
196	5217938.557
197	5208830.193
198	5208526.267
199	5201590.637
200	5191105.347
201	5168684.398
202	5148400.791
203	5130251.661
204	5110061.282
205	5091853.839
206	5080809.977
207	5066125.206
208	5043647.378
209	5019116.935
210	5019000.788
211	5012142.497
212	4993529.632
213	4970958.102
214	4964847.929
215	4960093.667
216	4948127.44
217	4946945.659
218	4939705.984
219	4922734.609
220	4902015.873
221	4897045.683
222	4894936.792
223	4881215.382
224	4871843.599
225	4855584.415
226	4846629.185
227	4831905.378
228	4822861.421
229	4806943.475
230	4799488.179
231	4782586.52
232	4767583.607
233	4751105.451
234	4738372.47
235	4721618.393
236	4709255.583
237	4692732.742
238	4687444.343
239	4685611.797
240	4670261.188
241	4658010.187
242	4644714.375
243	4643392.845
244	4626884.84
245	4619801.497
246	4619003.512
247	4608905.326
248	4599044.352
249	4580445.622
250	4575351.667
251	4562291.261
252	4550922.746
253	4549649.118
254	4535969.082
255	4515535.536
256	4502473.964
257	4498528.625
258	4487394.942
259	4474539.493
260	4473339.533
261	4458405.21
262	4446579.467
263	4434852.216
264	4428277.405
265	4426937.938
266	4412822.051
267	4411483.063
268	4403653.271
269	4393050.319
270	4372311.32
271	4369364.994
272	4352913.126
273	4343224.675
274	4330928.296
275	4322349.109
276	4303548.482
277	4287042.53
278	4268291.192
279	4265956.728
280	4249409.192
281	4248908.741
282	4244984.367
283	4236251.26
284	4233956.043
285	4218735.654
286	4215309.955
287	4211411.298
288	4204728.619
289	4191994.238
290	4190411.049
291	4180765.452
292	4178322.43
293	4177708.591
294	4177221.661
295	4166227.081
296	4158748.841
297	4158627.901
298	4145768.328
299	4143260.275
