iter	Passed	Remaining
0	70	21148
1	99	14844
2	181	17933
3	253	18793
4	329	19429
5	407	19971
6	484	20283
7	509	18578
8	562	18193
9	593	17201
10	670	17605
11	743	17847
12	818	18060
13	891	18215
14	973	18496
15	1077	19134
16	1189	19808
17	1276	19992
18	1361	20138
19	1435	20099
20	1512	20090
21	1584	20027
22	1656	19951
23	1733	19929
24	1806	19867
25	1877	19788
26	1948	19703
27	2028	19707
28	2097	19600
29	2172	19548
30	2247	19504
31	2318	19413
32	2391	19353
33	2463	19274
34	2535	19199
35	2611	19154
36	2683	19072
37	2755	18997
38	2833	18964
39	2906	18894
40	2979	18823
41	3052	18748
42	3124	18676
43	3194	18585
44	3270	18533
45	3345	18474
46	3420	18410
47	3491	18330
48	3570	18290
49	3649	18249
50	3725	18187
51	3798	18116
52	3872	18047
53	3946	17979
54	4021	17911
55	4094	17838
56	4164	17752
57	4239	17689
58	4320	17647
59	4399	17597
60	4469	17511
61	4541	17433
62	4615	17361
63	4690	17297
64	4760	17211
65	4836	17146
66	4908	17069
67	4979	16989
68	5057	16932
69	5129	16854
70	5207	16797
71	5277	16713
72	5355	16652
73	5430	16584
74	5503	16511
75	5576	16435
76	5653	16371
77	5726	16299
78	5797	16218
79	5867	16135
80	5940	16061
81	6015	15992
82	6083	15904
83	6154	15824
84	6224	15743
85	6295	15665
86	6372	15602
87	6447	15532
88	6525	15469
89	6598	15396
90	6670	15319
91	6745	15251
92	6819	15178
93	6899	15119
94	6974	15050
95	7047	14976
96	7119	14900
97	7196	14834
98	7275	14770
99	7347	14695
100	7417	14615
101	7489	14538
102	7565	14470
103	7645	14408
104	7721	14340
105	7792	14261
106	7866	14189
107	7937	14111
108	8015	14046
109	8091	13976
110	8163	13900
111	8238	13828
112	8312	13756
113	8389	13688
114	8461	13612
115	8532	13534
116	8605	13459
117	8681	13389
118	8754	13315
119	8828	13243
120	8900	13167
121	8973	13093
122	9044	13015
123	9119	12943
124	9188	12863
125	9260	12788
126	9339	12722
127	9411	12647
128	9487	12576
129	9563	12505
130	9636	12432
131	9711	12360
132	9791	12295
133	9862	12217
134	9935	12142
135	10012	12074
136	10085	11999
137	10162	11929
138	10233	11852
139	10309	11782
140	10386	11712
141	10463	11642
142	10540	11571
143	10612	11497
144	10690	11427
145	10764	11354
146	10838	11280
147	10911	11206
148	10990	11137
149	11064	11064
150	11132	10985
151	11199	10904
152	11277	10835
153	11354	10764
154	11429	10692
155	11502	10617
156	11578	10546
157	11656	10476
158	11732	10404
159	11802	10327
160	11876	10253
161	11954	10183
162	12031	10111
163	12107	10040
164	12141	9933
165	12209	9855
166	12279	9779
167	12351	9705
168	12426	9632
169	12505	9563
170	12584	9493
171	12659	9421
172	12736	9349
173	12807	9274
174	12877	9198
175	12948	9123
176	13025	9051
177	13098	8977
178	13170	8903
179	13243	8829
180	13317	8755
181	13393	8683
182	13469	8611
183	13548	8541
184	13620	8467
185	13693	8392
186	13763	8317
187	13838	8244
188	13915	8172
189	13989	8099
190	14065	8027
191	14137	7952
192	14214	7880
193	14288	7807
194	14361	7732
195	14432	7658
196	14502	7582
197	14578	7510
198	14650	7435
199	14727	7363
200	14805	7292
201	14885	7221
202	14961	7149
203	15042	7078
204	15115	7004
205	15186	6929
206	15259	6855
207	15332	6781
208	15403	6706
209	15474	6631
210	15496	6536
211	15573	6464
212	15646	6390
213	15717	6316
214	15792	6243
215	15869	6171
216	15941	6097
217	16014	6023
218	16086	5949
219	16162	5877
220	16236	5804
221	16308	5730
222	16385	5657
223	16459	5584
224	16530	5510
225	16604	5437
226	16694	5368
227	16769	5295
228	16849	5224
229	16922	5150
230	16998	5077
231	17074	5004
232	17152	4932
233	17231	4860
234	17312	4788
235	17398	4718
236	17474	4645
237	17544	4570
238	17616	4496
239	17687	4421
240	17759	4347
241	17837	4275
242	17915	4202
243	17997	4130
244	18080	4058
245	18157	3985
246	18228	3911
247	18306	3838
248	18379	3764
249	18453	3690
250	18527	3616
251	18606	3544
252	18676	3469
253	18746	3395
254	18821	3321
255	18898	3248
256	18972	3174
257	19052	3101
258	19125	3027
259	19201	2954
260	19272	2879
261	19345	2805
262	19421	2732
263	19494	2658
264	19573	2585
265	19647	2511
266	19725	2438
267	19802	2364
268	19876	2290
269	19952	2216
270	20028	2143
271	20096	2068
272	20170	1994
273	20248	1921
274	20323	1847
275	20393	1773
276	20467	1699
277	20542	1625
278	20619	1551
279	20688	1477
280	20764	1404
281	20832	1329
282	20902	1255
283	20973	1181
284	21047	1107
285	21118	1033
286	21187	959
287	21262	885
288	21334	812
289	21410	738
290	21483	664
291	21558	590
292	21635	516
293	21703	442
294	21773	369
295	21850	295
296	21929	221
297	22004	147
298	22080	73
299	22148	0
